link,Data-Name,data type,default task,attribute-type,instances,attributes,year
https://archive.ics.uci.edu/ml/datasets/Zoo,Zoo,Multivariate,Classification,"Categorical, Integer",101,17,1990
https://archive.ics.uci.edu/ml/datasets/Undocumented,Undocumented,,,,,,
https://archive.ics.uci.edu/ml/datasets/Twenty+Newsgroups,Twenty Newsgroups,Text,,,20000,,1999
https://archive.ics.uci.edu/ml/datasets/Australian+Sign+Language+signs,Australian Sign Language signs,"Multivariate, Time-Series",Classification,"Categorical, Real",6650,15,1999
https://archive.ics.uci.edu/ml/datasets/Australian+Sign+Language+signs+%28High+Quality%29,Australian Sign Language signs (High Quality),"Multivariate, Time-Series",Classification,Real,2565,22,2002
https://archive.ics.uci.edu/ml/datasets/US+Census+Data+%281990%29,US Census Data (1990),Multivariate,Clustering,Categorical,2458285,68,
https://archive.ics.uci.edu/ml/datasets/Census-Income+%28KDD%29,Census-Income (KDD),Multivariate,Classification,"Categorical, Integer",299285,40,2000
https://archive.ics.uci.edu/ml/datasets/Coil+1999+Competition+Data,Coil 1999 Competition Data,Multivariate,"Categorical, Real",,340,17,1999
https://archive.ics.uci.edu/ml/datasets/Corel+Image+Features,Corel Image Features,Multivariate,Real,,68040,89,1999
https://archive.ics.uci.edu/ml/datasets/E.+Coli+Genes,E. Coli Genes,Relational,,,,,2001
https://archive.ics.uci.edu/ml/datasets/EEG+Database,EEG Database,"Multivariate, Time-Series","Categorical, Integer, Real",,122,,1999
https://archive.ics.uci.edu/ml/datasets/El+Nino,El Nino,Spatio-temporal,"Integer, Real",,178080,12,1999
https://archive.ics.uci.edu/ml/datasets/Entree+Chicago+Recommendation+Data,Entree Chicago Recommendation Data,"Transactional, Sequential",Recommender-Systems,Categorical,50672,,2000
https://archive.ics.uci.edu/ml/datasets/CMU+Face+Images,CMU Face Images,Image,Classification,Integer,640,,1999
https://archive.ics.uci.edu/ml/datasets/Insurance+Company+Benchmark+%28COIL+2000%29,Insurance Company Benchmark (COIL 2000),Multivariate,"Regression, Description","Categorical, Integer",9000,86,2000
https://archive.ics.uci.edu/ml/datasets/Internet+Usage+Data,Internet Usage Data,Multivariate,"Categorical, Integer",,10104,72,1999
https://archive.ics.uci.edu/ml/datasets/IPUMS+Census+Database,IPUMS Census Database,Multivariate,"Categorical, Integer",,256932,61,1999
https://archive.ics.uci.edu/ml/datasets/Japanese+Vowels,Japanese Vowels,"Multivariate, Time-Series",Classification,Real,640,12,
https://archive.ics.uci.edu/ml/datasets/KDD+Cup+1998+Data,KDD Cup 1998 Data,Multivariate,Regression,"Categorical, Integer",191779,481,1998
https://archive.ics.uci.edu/ml/datasets/KDD+Cup+1999+Data,KDD Cup 1999 Data,Multivariate,Classification,"Categorical, Integer",4000000,42,1999
https://archive.ics.uci.edu/ml/datasets/M.+Tuberculosis+Genes,M. Tuberculosis Genes,Relational,,,,,2001
https://archive.ics.uci.edu/ml/datasets/Movie,Movie,"Multivariate, Relational",,,10000,,1999
https://archive.ics.uci.edu/ml/datasets/MSNBC.com+Anonymous+Web+Data,MSNBC.com Anonymous Web Data,Sequential,Categorical,,989818,,
https://archive.ics.uci.edu/ml/datasets/NSF+Research+Award+Abstracts+1990-2003,NSF Research Award Abstracts 1990-2003,Text,,,129000,,2003
https://archive.ics.uci.edu/ml/datasets/Pioneer-1+Mobile+Robot+Data,Pioneer-1 Mobile Robot Data,"Multivariate, Time-Series","Categorical, Real",,,,1999
https://archive.ics.uci.edu/ml/datasets/Pseudo+Periodic+Synthetic+Time+Series,Pseudo Periodic Synthetic Time Series,"Univariate, Time-Series",,,100000,,1999
https://archive.ics.uci.edu/ml/datasets/Reuters-21578+Text+Categorization+Collection,Reuters-21578 Text Categorization Collection,Text,Classification,Categorical,21578,5,1997
https://archive.ics.uci.edu/ml/datasets/Robot+Execution+Failures,Robot Execution Failures,"Multivariate, Time-Series",Classification,Integer,463,90,1999
https://archive.ics.uci.edu/ml/datasets/Synthetic+Control+Chart+Time+Series,Synthetic Control Chart Time Series,Time-Series,"Classification, Clustering",Real,600,,1999
https://archive.ics.uci.edu/ml/datasets/Syskill+and+Webert+Web+Page+Ratings,Syskill and Webert Web Page Ratings,"Multivariate, Text",Classification,Categorical,332,5,1998
https://archive.ics.uci.edu/ml/datasets/UNIX+User+Data,UNIX User Data,"Text, Sequential",,,,,
https://archive.ics.uci.edu/ml/datasets/Volcanoes+on+Venus+-+JARtool+experiment,Volcanoes on Venus - JARtool experiment,Image,Classification,,,,
https://archive.ics.uci.edu/ml/datasets/Statlog+%28Australian+Credit+Approval%29,Statlog (Australian Credit Approval),Multivariate,Classification,"Categorical, Integer, Real",690,14,
https://archive.ics.uci.edu/ml/datasets/Statlog+%28German+Credit+Data%29,Statlog (German Credit Data),Multivariate,Classification,"Categorical, Integer",1000,20,1994
https://archive.ics.uci.edu/ml/datasets/Statlog+%28Heart%29,Statlog (Heart),Multivariate,Classification,"Categorical, Real",270,13,
https://archive.ics.uci.edu/ml/datasets/Statlog+%28Landsat+Satellite%29,Statlog (Landsat Satellite),Multivariate,Classification,Integer,6435,36,1993
https://archive.ics.uci.edu/ml/datasets/Statlog+%28Image+Segmentation%29,Statlog (Image Segmentation),Multivariate,Classification,Real,2310,19,1990
